[2025-03-07 12:27:16,191] INFO [Controller id=0 epoch=6] Sending UpdateMetadata request to brokers HashSet(0) for 0 partitions (state.change.logger)
[2025-03-07 12:27:16,210] INFO [Controller id=0 epoch=6] Sending LeaderAndIsr request to broker 0 with 56 become-leader and 0 become-follower partitions (state.change.logger)
[2025-03-07 12:27:16,211] INFO [Controller id=0 epoch=6] Sending UpdateMetadata request to brokers HashSet(0) for 56 partitions (state.change.logger)
[2025-03-07 12:27:16,350] INFO [Broker id=0] Handling LeaderAndIsr request correlationId 1 from controller 0 for 56 partitions (state.change.logger)
[2025-03-07 12:27:16,362] INFO [Broker id=0] Stopped fetchers as part of LeaderAndIsr request correlationId 1 from controller 0 epoch 6 as part of the become-leader transition for 56 partitions (state.change.logger)
[2025-03-07 12:27:16,367] INFO [Broker id=0] Leader __consumer_offsets-3 with topic id Some(d43FNzJkT9KKn74Zy0q9jg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,374] INFO [Broker id=0] Leader __consumer_offsets-18 with topic id Some(d43FNzJkT9KKn74Zy0q9jg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,381] INFO [Broker id=0] Leader __consumer_offsets-41 with topic id Some(d43FNzJkT9KKn74Zy0q9jg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,387] INFO [Broker id=0] Leader third_topic-0 with topic id Some(YnoSAfZSSRCaEESjzSryhw) starts at leader epoch 0 from offset 295 with partition epoch 0, high watermark 295, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,387] INFO [Broker id=0] Leader __consumer_offsets-10 with topic id Some(d43FNzJkT9KKn74Zy0q9jg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,394] INFO [Broker id=0] Leader __consumer_offsets-33 with topic id Some(d43FNzJkT9KKn74Zy0q9jg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,400] INFO [Broker id=0] Leader __consumer_offsets-48 with topic id Some(d43FNzJkT9KKn74Zy0q9jg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,406] INFO [Broker id=0] Leader __consumer_offsets-19 with topic id Some(d43FNzJkT9KKn74Zy0q9jg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,412] INFO [Broker id=0] Leader __consumer_offsets-34 with topic id Some(d43FNzJkT9KKn74Zy0q9jg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,414] INFO [Broker id=0] Leader __consumer_offsets-4 with topic id Some(d43FNzJkT9KKn74Zy0q9jg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,421] INFO [Broker id=0] Leader output_agg_topic-0 with topic id Some(ISm-SRY-QrC89UCEYO3hjA) starts at leader epoch 0 from offset 10 with partition epoch 0, high watermark 10, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,421] INFO [Broker id=0] Leader __consumer_offsets-11 with topic id Some(d43FNzJkT9KKn74Zy0q9jg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,427] INFO [Broker id=0] Leader __consumer_offsets-26 with topic id Some(d43FNzJkT9KKn74Zy0q9jg) starts at leader epoch 0 from offset 6 with partition epoch 0, high watermark 6, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,427] INFO [Broker id=0] Leader first_topic-0 with topic id Some(ba1L0nlwT2OW1BDlWdydMA) starts at leader epoch 0 from offset 10 with partition epoch 0, high watermark 10, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,427] INFO [Broker id=0] Leader __consumer_offsets-49 with topic id Some(d43FNzJkT9KKn74Zy0q9jg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,433] INFO [Broker id=0] Leader output_topic-0 with topic id Some(w0u9gq4jSi280NY2UEcHGg) starts at leader epoch 0 from offset 757 with partition epoch 0, high watermark 757, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,433] INFO [Broker id=0] Leader __consumer_offsets-39 with topic id Some(d43FNzJkT9KKn74Zy0q9jg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,439] INFO [Broker id=0] Leader __consumer_offsets-9 with topic id Some(d43FNzJkT9KKn74Zy0q9jg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,444] INFO [Broker id=0] Leader __consumer_offsets-24 with topic id Some(d43FNzJkT9KKn74Zy0q9jg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,449] INFO [Broker id=0] Leader __consumer_offsets-31 with topic id Some(d43FNzJkT9KKn74Zy0q9jg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,456] INFO [Broker id=0] Leader __consumer_offsets-46 with topic id Some(d43FNzJkT9KKn74Zy0q9jg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,460] INFO [Broker id=0] Leader __consumer_offsets-1 with topic id Some(d43FNzJkT9KKn74Zy0q9jg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,466] INFO [Broker id=0] Leader __consumer_offsets-16 with topic id Some(d43FNzJkT9KKn74Zy0q9jg) starts at leader epoch 0 from offset 3 with partition epoch 0, high watermark 3, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,466] INFO [Broker id=0] Leader __consumer_offsets-2 with topic id Some(d43FNzJkT9KKn74Zy0q9jg) starts at leader epoch 0 from offset 3 with partition epoch 0, high watermark 3, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,466] INFO [Broker id=0] Leader __consumer_offsets-25 with topic id Some(d43FNzJkT9KKn74Zy0q9jg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,472] INFO [Broker id=0] Leader __consumer_offsets-40 with topic id Some(d43FNzJkT9KKn74Zy0q9jg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,478] INFO [Broker id=0] Leader __consumer_offsets-47 with topic id Some(d43FNzJkT9KKn74Zy0q9jg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,484] INFO [Broker id=0] Leader second_topic-0 with topic id Some(hQN1Kiu0ShiFL3-PWDULrg) starts at leader epoch 0 from offset 206 with partition epoch 0, high watermark 206, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,484] INFO [Broker id=0] Leader __consumer_offsets-17 with topic id Some(d43FNzJkT9KKn74Zy0q9jg) starts at leader epoch 0 from offset 3 with partition epoch 0, high watermark 3, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,484] INFO [Broker id=0] Leader __consumer_offsets-32 with topic id Some(d43FNzJkT9KKn74Zy0q9jg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,490] INFO [Broker id=0] Leader __consumer_offsets-37 with topic id Some(d43FNzJkT9KKn74Zy0q9jg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,495] INFO [Broker id=0] Leader __consumer_offsets-7 with topic id Some(d43FNzJkT9KKn74Zy0q9jg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,500] INFO [Broker id=0] Leader __consumer_offsets-22 with topic id Some(d43FNzJkT9KKn74Zy0q9jg) starts at leader epoch 0 from offset 3 with partition epoch 0, high watermark 3, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,500] INFO [Broker id=0] Leader __consumer_offsets-29 with topic id Some(d43FNzJkT9KKn74Zy0q9jg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,505] INFO [Broker id=0] Leader __consumer_offsets-44 with topic id Some(d43FNzJkT9KKn74Zy0q9jg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,511] INFO [Broker id=0] Leader __consumer_offsets-14 with topic id Some(d43FNzJkT9KKn74Zy0q9jg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,517] INFO [Broker id=0] Leader __consumer_offsets-23 with topic id Some(d43FNzJkT9KKn74Zy0q9jg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,520] INFO [Broker id=0] Leader __consumer_offsets-38 with topic id Some(d43FNzJkT9KKn74Zy0q9jg) starts at leader epoch 0 from offset 3 with partition epoch 0, high watermark 3, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,520] INFO [Broker id=0] Leader __consumer_offsets-8 with topic id Some(d43FNzJkT9KKn74Zy0q9jg) starts at leader epoch 0 from offset 3 with partition epoch 0, high watermark 3, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,520] INFO [Broker id=0] Leader __consumer_offsets-45 with topic id Some(d43FNzJkT9KKn74Zy0q9jg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,526] INFO [Broker id=0] Leader __consumer_offsets-15 with topic id Some(d43FNzJkT9KKn74Zy0q9jg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,532] INFO [Broker id=0] Leader __consumer_offsets-30 with topic id Some(d43FNzJkT9KKn74Zy0q9jg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,538] INFO [Broker id=0] Leader __consumer_offsets-0 with topic id Some(d43FNzJkT9KKn74Zy0q9jg) starts at leader epoch 0 from offset 3 with partition epoch 0, high watermark 3, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,538] INFO [Broker id=0] Leader __consumer_offsets-35 with topic id Some(d43FNzJkT9KKn74Zy0q9jg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,544] INFO [Broker id=0] Leader __consumer_offsets-5 with topic id Some(d43FNzJkT9KKn74Zy0q9jg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
